"year","province","MR","DR","POP","GDP","INC","CON","CPI","HEET","HP","UR","GR","SAV","MN","DN","GDPC","SAVPG"
2018,"黑龙江省",0.0168265747857585,0.0112867744500396,3773,16361.62,22725.85,16993.96,102,2478,5956.88749999995,4.33333333333333,2.21531328320799,14550.5904761909,31.7433333333333,21.2924999999998,4.33650145772595,0.889312334364867
2011,"河北省",0.0214666482530037,0.00431708327579064,7241,24515.76,11722.0340952361,8437.668571427,105.7,2006,3766.75,3.8,7.73999999999999,17824.3,77.72,15.63,3.38568705979837,0.727054759876912
2016,"浙江省",0.0131234347048301,0.00526296958855098,5590,47251.36,38529,25526.63,101.9,2355,11447,2.9,8.56,36484.9466666672,36.68,14.71,8.45283720930233,0.772145958691289
2018,"江西省",0.0124212325492446,0.00494908204245549,4648,21984.78,24079.68,15792.02,102.1,2826.66666666666,6372.11611111113,3.33888888888889,8.65869674185464,15440.0152380955,28.8669444444445,11.5016666666666,4.72994406196213,0.702304741648338
2012,"安徽省",0.0255477621910488,0.00446559786239145,5988,17212.05,13261.0413333317,9125.00799999852,102.3,2101,4495.12,3.7,8.78,11178.6,76.49,13.37,2.87442384769539,0.649463602534271
2012,"河北省",0.0204527991218441,0.00469813391877058,7288,26575.01,13361.9646666651,9608.58999999845,102.6,2063,4141.96,3.7,4.59999999999999,20665.1,74.53,17.12,3.64640642151482,0.777614006542236
2011,"云南省",0.0168732455193263,0.00320881019218311,4631,8893.12,9337.76266666455,6733.96819047513,104.9,1520,3388.41,4.1,4.09999999999999,6656,39.07,7.43,1.92034549773267,0.748443740779389
2013,"山西省",0.0211570247933884,0.00336088154269972,3630,12665.25,15119.72,10118.33,103.1,2474,4211,3.1,5.52,13339.4,38.4,6.1,3.48904958677686,1.0532283215886
2011,"贵州省",0.0215278178149323,0.00416258287690977,3469,5701.84,7990.17276190314,5965.93038095068,105.1,1254,3489.71,3.6,12.01,3934.5,37.34,7.22,1.64365523205535,0.690040408008643
2014,"河南省",0.0249215769393811,0.00489402289105553,9436,34938.24,15695.18,11000.44,101.9,2203,3909,3,2.33,22417.2,117.58,23.09,3.70265366680797,0.641623619277903
2011,"山东省",0.0201120680709764,0.00376880772024489,9637,45361.85,14749.9726666645,9176.11314285547,105,2191,4298.78,3.4,0.739999999999995,22173.3,96.91,18.16,4.7070509494656,0.4888094290687
2018,"天津市",0.0126160968660969,0.00855769230769225,1560,18809.64,39506.15,29902.91,102,4036.25,13960.3972222221,3.47222222222223,15.4597994987462,10355.4083333334,9.84055555555556,6.67499999999995,12.0574615384615,0.550537295415194
2013,"山东省",0.0183170656529333,0.00462550087331758,9733,55230.32,19008.26,11896.77,102.2,2304,4797,3.2,3.87,29796.1,89.14,22.51,5.67454227884517,0.539488092772231
2016,"福建省",0.016241610738255,0.00497160557563242,3874,28810.58,27607.93,20167.48,101.7,2438,9175,3.9,3.8,15029.5161904772,31.46,9.63,7.43690758905524,0.521666561050738
2018,"河南省",0.0218989530915611,0.00686517438833946,9605,48055.86,21963.54,15168.5,102.3,2541.27777777778,5319.99888888886,2.73611111111111,3.66776942355894,31503.2171428585,105.169722222222,32.9700000000003,5.00321290994274,0.655554122699262
2014,"新疆维吾尔自治区",0.0242993907745866,0.00939947780678851,2298,9273.46,15096.62,11903.71,102.1,1749,4057,3.2,4.5,6187.7,27.92,10.8,4.03544821583986,0.667248254696737
2014,"西藏自治区",0.0123270440251572,0.00163522012578616,318,920.83,10730.22,7316.95,102.9,1676,5323,2.5,1.06999999999999,559.3,1.96,0.26,2.89569182389937,0.607386814069915
2013,"陕西省",0.0210255047821467,0.0042826780021254,3764,16205.45,14371.55,11217.32,103,3612,4991,3.3,5.02,12249.4,39.57,8.06,4.30537991498406,0.755881508998516
2014,"宁夏回族自治区",0.0169184290030211,0.00477341389728097,662,2752.1,15906.78,12484.52,101.9,2255,3747,4,5.8,2054.6,5.6,1.58,4.15725075528701,0.746557174521275
2010,"广西壮族自治区",0.0228633405639913,0.00316702819956616,4610,9569.85,9610.25190476002,6168.01980952267,103,1530,3382,3.7,9.70669172932332,5702.4,52.7,7.3,2.07588937093275,0.595871408642769
2009,"湖南省",0.0203840149859507,0.00410864814236653,6406,13059.69,8436.7826666641,6399.00276190275,99.6,2040,2532,4.1,4.89,7809.8,65.29,13.16,2.03866531376834,0.598008069104244
