"","zipcode","total","information","professional","per"
"158",90407,4,NA,0,NA
"159",90408,8,0,NA,NA
"160",90409,20,0,0,0
"161",90410,52,NA,NA,NA
"162",90501,26989,289,2391,0.0992997146985809
"163",90502,15805,0,1626,0.102878835811452
"164",90503,33522,657,1805,0.0734443052323847
"165",90504,8807,119,390,0.0577949358464857
"166",90505,30706,131,2314,0.0796261317006448
"167",90506,1904,NA,0,NA
"168",90507,76,NA,0,NA
"169",90508,1,NA,0,NA
"170",90509,2722,0,88,0.0323291697281411
"171",90510,59,NA,NA,NA
"172",90601,14003,0,150,0.0107119902877955
"173",90602,9827,0,152,0.0154675892948
"174",90603,4724,0,109,0.02307366638442
"175",90604,2846,NA,18,NA
"176",90605,8623,6,136,0.0164675866867679
"177",90606,6304,0,107,0.0169733502538071
"178",90607,159,NA,NA,NA
"179",90608,2355,0,NA,NA
"180",90609,18,NA,NA,NA
"181",90610,18,0,NA,NA
"182",90623,6984,0,614,0.0879152348224513
"183",90630,22814,855,1806,0.116638905934952
"184",90631,17438,66,304,0.0212180295905494
"185",90637,132,0,NA,NA
"186",90638,16012,77,529,0.037846615038721
"187",90639,1735,NA,NA,NA
"188",90640,23140,76,410,0.0210025929127053
"189",90650,24342,126,528,0.0268671432092679
"190",90651,117,NA,NA,NA
"191",90652,34,NA,0,NA
"192",90660,16656,83,241,0.0194524495677233
"193",90661,2,NA,NA,NA
"194",90662,49,NA,NA,NA
"195",90670,53033,188,1309,0.0282277072766014
"196",90671,1,NA,NA,NA
"197",90701,9600,0,151,0.0157291666666667
"198",90702,453,NA,0,NA
"199",90703,35371,1032,1198,0.0630459981340646
"200",90704,2592,0,0,0
"201",90706,17291,0,291,0.0168295645133306
"202",90707,83,NA,NA,NA
"203",90710,7698,23,199,0.0288386593920499
"204",90711,32,NA,NA,NA
"205",90712,11730,136,212,0.0296675191815857
"206",90713,3988,0,120,0.0300902708124373
"207",90714,757,NA,0,NA
"208",90715,1260,0,45,0.0357142857142857
"209",90716,3906,0,22,0.00563236047107015
"210",90717,4017,11,131,0.0353497635051033
"211",90723,17698,54,396,0.0254266018759182
"212",90731,11617,97,441,0.0463114401308427
"213",90732,3256,8,135,0.0439189189189189
"214",90733,53,NA,19,NA
"215",90734,19,NA,0,NA
"216",90744,12363,86,177,0.0212731537652673
"217",90745,14831,25,491,0.0347919897511968
"218",90746,17693,84,826,0.0514327700220426
"219",90747,2926,NA,NA,NA
"220",90748,588,NA,NA,NA
"221",90749,1351,NA,36,NA
"222",90755,12163,40,674,0.0587026227082134
"223",90801,614,NA,55,NA
"224",90802,32683,359,2449,0.085916225560689
"225",90803,9700,119,967,0.111958762886598
"226",90804,9387,0,519,0.0552892297858741
"227",90805,14942,0,175,0.0117119528844867
"228",90806,22251,0,1189,0.0534358006381736
"229",90807,13017,0,1083,0.0831988937543213
"230",90808,12028,249,581,0.0690056534752245
"231",90809,168,0,0,0
"232",90810,15545,279,886,0.0749437118044387
"233",90813,12869,0,466,0.03621104980962
"234",90814,2260,2,74,0.0336283185840708
"235",90815,14186,318,728,0.073734667982518
"236",90822,3400,NA,0,NA
"237",90831,1266,NA,200,NA
"238",90840,6037,NA,0,NA
"239",90846,1487,NA,0,NA
"240",90853,12,NA,0,NA
"241",91001,4370,54,380,0.0993135011441648
"242",91003,102,NA,0,NA
"243",91006,13805,60,1056,0.080840275262586
"244",91007,13495,93,358,0.0334197851055947
"245",91008,87,NA,NA,NA
"246",91009,24,NA,NA,NA
"247",91010,14313,8,122,0.00908265213442325
"248",91011,5887,85,190,0.0467130966536436
"249",91012,20,NA,0,NA
"250",91016,18301,204,2222,0.132561062237036
"251",91017,272,NA,9,NA
"252",91020,2914,0,265,0.0909402882635553
"253",91021,33,NA,0,NA
"254",91024,2559,14,68,0.0320437670965221
"255",91025,31,NA,19,NA
"256",91030,7149,97,713,0.113302559798573
"257",91031,51,NA,0,NA
"258",91040,3092,0,113,0.0365459249676585
"259",91041,57,NA,NA,NA
"260",91042,4497,67,189,0.0569268401156326
"261",91043,36,NA,NA,NA
"262",91046,69,NA,0,NA
"263",91066,74,NA,0,NA
"264",91077,21,NA,2,NA
"265",91101,25084,1043,3829,0.194227395949609
"266",91102,159,0,0,0
"267",91103,10931,1270,921,0.200439118104474
"268",91104,5938,39,283,0.0542270124621085
"269",91105,19807,804,1297,0.106073610339779
"270",91106,8805,140,564,0.0799545712663259
"271",91107,19646,104,1539,0.0836302555227527
"272",91108,3535,0,290,0.082036775106082
"273",91109,9571,0,0,0
"274",91114,8,NA,NA,NA
"275",91115,6,NA,0,NA
"276",91116,27,NA,0,NA
"277",91117,10,NA,NA,NA
"278",91118,19,NA,0,NA
"279",91125,95,NA,0,NA
"280",91126,0,NA,NA,NA
"281",91201,15665,369,497,0.0552824768592403
