"province","MR"
"北京市",0.0148888373052719
"天津市",0.0126160968660969
"河北省",0.0136905917298982
"山西省",0.0165758173450481
"内蒙古自治区",0.0162437516443041
"辽宁省",0.0137167036272336
"吉林省",0.0162592455621302
"黑龙江省",0.0168265747857585
"上海市",0.0100231481481481
"江苏省",0.0185928594101492
"浙江省",0.0125206747622644
"安徽省",0.0241257291447044
"福建省",0.0158989540161833
"江西省",0.0124212325492446
"山东省",0.0122496488725213
"河南省",0.0218989530915611
"湖北省",0.0177298931515595
"湖南省",0.0136952215296901
"广东省",0.0139230174119122
"广西壮族自治区",0.0150498488744532
"海南省",0.0138026409707349
"重庆市",0.0176615445232466
"四川省",0.0175968775393305
"贵州省",0.0268327160493828
"云南省",0.0192926155969634
"西藏自治区",0.017561369509044
"陕西省",0.0176656314699793
"甘肃省",0.0179421059284541
"青海省",0.0221531232725263
"宁夏回族自治区",0.0178609496124031
"新疆维吾尔自治区",0.0172970558012777
