"province","GDPC"
"北京市",14.0761281337047
"天津市",12.0574615384615
"河北省",4.76578480677607
"山西省",4.52342926304465
"内蒙古自治区",6.82289660615628
"辽宁省",5.80760495526497
"吉林省",5.57493343195266
"黑龙江省",4.33650145772595
"上海市",13.4817945544554
"江苏省",11.5011054527388
"浙江省",9.79556388356284
"安徽省",4.74491144845035
"福建省",9.08501395584877
"江西省",4.72994406196213
"山东省",7.611194386384
"河南省",5.00321290994274
"湖北省",6.65312658441778
"湖南省",5.27986374836933
"广东省",8.57375022034197
"广西壮族自治区",4.13165042630938
"海南省",5.17350107066381
"重庆市",6.56453578336557
"四川省",4.87688886224673
"贵州省",4.11290277777778
"云南省",3.70209523809524
"西藏自治区",4.29543604651163
"陕西省",6.32461697722567
"甘肃省",3.12706484641638
"青海省",4.75162520729685
"宁夏回族自治区",5.38543604651163
"新疆维吾尔自治区",4.90513872135103
