"","id","county","chci09","chci10","chci11","chci12","chci13","chci14","chci15","chci16","chci17","pop09","pop10","pop11","pop12","pop13","pop14","pop15","pop16","pop17","chcig","chcigr","popg","popgr"
"1013",21039,"Carlisle County, Kentucky",123.57,123.11,125,130,130.95,127.82,128.6,130.91,131.14,3652,3602,3541,3562,3537,3553,3535,3496,3435,7.57000000000002,0.0612608238245531,-217,-0.0594194961664841
"1014",21041,"Carroll County, Kentucky",120.49,120.54,119.02,120.31,120.6,122.1,123.86,124.71,124.21,6982,7063,7135,7147,7168,7096,7087,7196,7122,3.71999999999998,0.0308739314465929,140,0.0200515611572615
"1015",21043,"Carter County, Kentucky",122.02,119.69,120.87,120.51,122.1,123.43,125.26,125.89,125.22,18027,18703,18667,18538,18449,18496,18393,18391,18647,3.2,0.0262252089821341,620,0.0343928551617019
"1016",21045,"Casey County, Kentucky",112.99,114.69,113.76,114.59,115.5,116.69,120.15,121.24,122.01,11138,10912,10821,10916,11016,11056,11050,11088,11001,9.02,0.0798300734578281,-137,-0.0123002334350871
"1017",21047,"Christian County, Kentucky",128.98,129.49,129,129.97,131.18,132.05,133.25,133.57,133.77,43071,41563,42080,42375,42504,42455,42158,41893,41214,4.79000000000002,0.0371375407039853,-1857,-0.0431148568642474
"1018",21049,"Clark County, Kentucky",129.83,130.51,130.28,130.55,132.65,133.7,134.38,134.39,136.26,24441,24262,24506,24650,24792,24799,24835,24981,24963,6.42999999999998,0.0495263036278208,522,0.0213575549281944
"1019",21051,"Clay County, Kentucky",109.26,108.18,109.57,110.84,112.73,113.32,112.71,114.22,113.6,16236,15049,15106,14994,14993,15057,14919,14897,14739,4.34000000000002,0.0397217645982063,-1497,-0.0922025129342203
"1020",21053,"Clinton County, Kentucky",108.72,105.85,112.23,113.51,113.97,115.86,117.41,119.37,120.12,6503,6935,6930,6987,7017,6989,6967,6982,7129,11.4,0.10485651214128,626,0.0962632631093342
"1021",21055,"Crittenden County, Kentucky",119.39,120.34,121,121.8,122.97,123.47,124.01,125.09,126.93,6255,6374,6512,6545,6498,6468,6476,6459,6428,7.53999999999999,0.063154368037524,173,0.0276578737010392
"1022",21057,"Cumberland County, Kentucky",114.73,115.8,117.7,120.35,123.19,120.8,123.41,125.21,126.19,4822,4788,4784,4787,4762,4782,4782,4786,4742,11.46,0.0998866904907174,-80,-0.0165906262961427
"1023",21059,"Daviess County, Kentucky",133.91,134.4,134.93,135.48,135.82,136.82,136.97,137.78,138.47,62198,63474,64151,64744,65223,65614,66181,66401,66803,4.56,0.0340527219774476,4605,0.074037750409981
"1024",21061,"Edmonson County, Kentucky",117.59,118.1,120.87,120.18,121.94,123.98,125.35,123.48,124.38,8366,8223,8347,8232,8462,8511,8526,8595,8612,6.78999999999999,0.0577430053575984,246,0.029404733444896
"1025",21063,"Elliott County, Kentucky",109.87,113.61,114.59,113.7,114.35,114.97,115.77,118.17,118.19,5666,5151,5261,5401,5451,5665,5655,5639,5538,8.32000000000004,0.0757258578319836,-128,-0.0225908930462407
"1026",21065,"Estill County, Kentucky",112.14,113.08,114.28,115.81,117.27,117.68,117.47,119.55,119.86,10324,10244,10318,10297,10294,10277,10210,10190,10241,7.72000000000003,0.0688425182807208,-83,-0.00803951956605967
"1027",21067,"Fayette County, Kentucky",152.09,152.89,153.17,153.67,153.72,154.32,155.2,155.73,156.46,180591,185370,188392,191699,194245,196497,199042,200906,203859,4.36999999999998,0.028732987047143,23268,0.128843630081233
"1028",21069,"Fleming County, Kentucky",122.09,122.79,123.32,124.38,123.35,122.42,125.39,124.64,125.57,9864,9623,9680,9745,9805,9837,9818,9817,9848,3.48000000000002,0.0285035629453683,-16,-0.0016220600162206
"1029",21071,"Floyd County, Kentucky",119.38,118.57,119.34,121.22,123,123.04,124.04,123.51,123.36,28863,27592,27405,27304,27405,27122,26910,26544,26169,3.97999999999999,0.0333389177416652,-2694,-0.0933374909053113
"1030",21073,"Franklin County, Kentucky",139.78,139.72,140.5,140.75,140.34,141.01,140.9,142.59,142.66,33254,33519,33592,33701,33841,34200,34510,34721,34882,2.88,0.020603805980827,1628,0.0489565165092921
"1031",21075,"Fulton County, Kentucky",123.27,123.13,124.13,125.62,125.41,124.68,124.63,125.42,127.2,4867,4892,4807,4831,4720,4652,4498,4437,4408,3.93000000000002,0.031881236310538,-459,-0.0943086089993836
"1032",21077,"Gallatin County, Kentucky",118.88,118.17,119.86,119.53,119.71,122.84,124.76,123.4,125.43,5066,5445,5464,5501,5507,5620,5613,5618,5790,6.55,0.0550975773889636,724,0.142913541255428
"1033",21079,"Garrard County, Kentucky",123.47,124.53,125.46,127.17,127.03,128.54,127.03,128.37,129.5,11691,11924,11780,11785,11799,11873,11950,12040,12191,6.02999999999999,0.0488377743581436,500,0.042767941151313
"1034",21081,"Grant County, Kentucky",124.24,124.64,125.81,127.34,125.94,126.1,126.93,127.1,127.51,16027,15585,15697,15701,15671,15725,15714,15780,15908,3.27,0.0263200257566001,-119,-0.00742497036251326
"1035",21083,"Graves County, Kentucky",126.13,126.65,127.72,128.77,130.44,130.18,131.64,130.79,131.08,25446,25124,25132,25197,25265,25360,25384,25331,25225,4.95,0.0392452231824309,-221,-0.00868505855537216
"1036",21085,"Grayson County, Kentucky",116.33,116.72,116.54,118.59,120.55,120.23,121.5,123.4,124.28,17104,17193,17392,17431,17449,17504,17540,17649,17689,7.95,0.0683400670506319,585,0.0342025257249766
"1037",21087,"Green County, Kentucky",120.07,119.98,121.39,120.31,121.6,120.98,120.83,121.09,120.84,8142,8021,8028,7947,7952,7888,7915,7916,7931,0.77000000000001,0.00641292579328734,-211,-0.0259150085973962
