"mindex","n","predictors","rsquare","adjr","predrsq","cp","aic","sbic","sbc","msep","fpe","apc","hsp"
1,1,"ctax",0.415381826514535,0.397666124287703,0.340850341290583,22.9310955075037,102.725895272671,NA,107.391939457139,1.04446310371336,1.04094639292645,0.655480982392794,0.0307712193854947
2,2,"ctax ypc2000",0.555760942121133,0.527996001003704,0.455855066247776,11.9811055236112,95.1150316657752,NA,101.336423911733,0.844869780823133,0.837758082331356,0.527533881231155,0.0248909447212203
3,3,"ctax ypc2000 ihc",0.626041945278591,0.589852456112003,0.462068147231827,7.49767468695028,91.0873597284453,NA,98.8641000358924,0.758620636947051,0.747126384872095,0.470463359165644,0.0223499345901909
4,4,"ctax ypc2000 trade ihc",0.665650078136588,0.6210700885548,0.439439617920114,5.84381975578522,89.1689164174738,NA,98.5010047864103,0.725047872858131,0.707959202454068,0.445799895817882,0.0213608380050796
5,5,"ctax ypc2000 dty trade ihc",0.682770422566325,0.628075667836382,0.431199892030633,6.26446596139883,89.3292329770512,NA,100.216669407477,0.737059168358134,0.712242361342708,0.44849698878554,0.0217147061384972
6,6,"ctax ypc2000 dty trade ihc y2000",0.696477353119677,0.631436785931037,0.287534263629224,7,89.783300336013,NA,102.226084827928,0.75745007803718,0.72302052903549,0.455283970320484,0.0223154484270213
