,id,county,chci09,chci10,chci11,chci12,chci13,chci14,chci15,chci16,chci17,pop09,pop10,pop11,pop12,pop13,pop14,pop15,pop16,pop17,chcig,chcigr,popg,popgr,fips
1104,21219,"Todd County, Kentucky",120.48,118.78,119.13,119.82,119.84,120.72,121.56,122.45,123.8,7899,7824,7897,7949,7930,8002,8120,8082,8075,3.32,0.027556441,176,0.022281301,21219
1105,21221,"Trigg County, Kentucky",129.65,131.33,131.55,132.49,133.71,133.42,133.42,134.49,133.8,9484,10029,10073,10142,10135,10198,10205,10224,10227,4.15,0.032009256,743,0.078342472,21221
1106,21223,"Trimble County, Kentucky",122.44,126.51,128.29,129.23,130.95,129.96,127.31,128.24,128.63,6051,5980,5990,6035,5964,5976,6021,6017,6044,6.19,0.050555374,-7,-0.001156834,21223
1107,21225,"Union County, Kentucky",129.03,128.42,127.06,126.4,127.64,127.77,128.31,129.47,129.14,9091,9553,9332,9288,9538,9668,9581,9725,9722,0.11,0.000852515,631,0.069409306,21225
1108,21227,"Warren County, Kentucky",140.92,140.55,140.89,140.95,142.02,141.38,142.32,143.32,144.79,62181,66578,67975,69306,70414,71392,72191,73406,74913,3.87,0.02746239,12732,0.20475708,21227
1109,21229,"Washington County, Kentucky",122.41,124.39,125.34,124.86,127.18,127.87,126.5,128.61,131.91,7483,7644,7792,7806,7831,7938,7971,8016,7983,9.5,0.077608039,500,0.066818121,21229
1110,21231,"Wayne County, Kentucky",114.05,113.6,115.57,115.93,117.61,116.45,118.96,117.11,120.36,14028,14296,14431,14453,14513,14551,14539,14517,14446,6.31,0.055326611,418,0.029797548,21231
1111,21233,"Webster County, Kentucky",121.6,120.12,121.68,121.68,122.19,121.47,123.31,122.83,123.33,9474,9395,9366,9312,9290,9202,9150,9155,9066,1.73,0.014226974,-408,-0.043065231,21233
1112,21235,"Whitley County, Kentucky",119.21,119.94,120.27,121.02,122.79,124.18,125.93,128.13,131.23,24968,23273,23196,23107,23112,22940,22954,22896,23150,12.02,0.100830467,-1818,-0.072813201,21235
1113,21237,"Wolfe County, Kentucky",109.75,110.15,111.44,116.46,118.63,116.54,119.05,119.7,115.69,4559,4928,4920,4917,5040,5035,5032,5018,5045,5.94,0.054123007,486,0.106602325,21237
1114,21239,"Woodford County, Kentucky",146.2,146.67,144.09,143.98,145.12,145.9,147.07,145.85,147.44,16471,16780,16933,17133,17256,17424,17431,17668,17839,1.24,0.008481532,1368,0.083055066,21239
1115,22001,"Acadia Parish, Louisiana",117.59,118.07,118.76,118.23,119.19,119.25,120.32,121.39,123.59,37087,38553,38862,39069,39281,39566,39781,40069,40193,6,0.051024747,3106,0.083749023,22001
1116,22003,"Allen Parish, Louisiana",119.3,119.51,120.27,121.54,123.73,125.02,125.64,126.02,126.87,16585,17578,17909,17849,17594,17797,17767,17927,17898,7.57,0.063453479,1313,0.079167923,22003
1117,22005,"Ascension Parish, Louisiana",134.85,136.36,137.39,138.28,139.39,140.36,140.25,140.85,141.82,61906,64419,66219,67993,69451,71177,73240,74802,76658,6.97,0.05168706,14752,0.238296773,22005
1118,22007,"Assumption Parish, Louisiana",115.17,115.5,115.82,116.13,116.8,118.56,119.82,120.46,121.07,15322,15451,15534,15570,15509,15391,15450,15542,15572,5.9,0.051228619,250,0.016316408,22007
1119,22009,"Avoyelles Parish, Louisiana",119.11,119.25,119.51,119.68,120.32,119.44,120.27,120.79,122.51,27251,27913,28018,28074,28080,27987,27932,27923,27863,3.4,0.028545042,612,0.022457891,22009
1120,22011,"Beauregard Parish, Louisiana",128.02,128.93,129.44,130.51,129.42,129.03,128.75,129.94,130.12,22579,22790,23100,23409,23675,23765,23897,24097,24302,2.1,0.016403687,1723,0.076309845,22011
1121,22013,"Bienville Parish, Louisiana",126.5,125.73,126.49,125.1,124.32,125.8,126.27,128.49,128.8,9881,9778,9755,9633,9630,9629,9598,9597,9614,2.3,0.018181818,-267,-0.027021557,22013
1122,22015,"Bossier Parish, Louisiana",136.99,136.99,138.45,138.9,140.68,140.83,142.11,142.21,142.29,68682,72872,74269,75802,77493,78999,80195,81134,82058,5.3,0.038688955,13376,0.194752628,22015
1123,22017,"Caddo Parish, Louisiana",136.17,136.57,137.07,137.64,137.83,138.43,138.82,138.86,139.05,163358,164587,165674,166717,167699,168170,168163,167830,167590,2.88,0.021150033,4232,0.025906292,22017
