"","linear_model_whole$coefficients"
"(Intercept)",2.06588902105441
"ctax",-0.0785068999953183
"ypc2000",-3.7335084470212e-05
"dty",-0.00648994725668831
"trade",0.00650963225880034
"ihc",0.886598547944741
"y2000",0.000102469105185534
