"","state","hl","hlus","hv","rent","mhi","hsg","density","tem","year.x","y2017","pir","year.y","Dvote","Rvote","Gallup","Nonwhite","Christian","Mhincome","Mhincomeg","D_Incumbent","R_Incumbent","Open_D_Previous"
"34","NY",0.354469,0.02081,280900,1079,56448,0.068852,421,26,2012,0,4.97626133786848,2012,64.2759270366692,35.7240729633308,50,42.6,9.798,50409,-1.58533698361339,1,0,0
"35","OH",0.121045,0.014991,127600,700,46829,0.110353,285,32,2012,0,2.72480727754169,2012,51.5140567692495,48.4859432307505,50,19.4,22.939,45632,-2.0170695306828,1,0,0
"36","OK",0.13189,0.052132,114300,686,44312,0.183648,57,42.6,2012,0,2.57943672142986,2012,33.2276802569834,66.7723197430166,50,32.2,51.053,49648,-1.63794657228594,1,0,0
"37","OR",0.40648,0.238397,223900,862,49161,0.178133,43,35.1,2012,0,4.55442322165945,2012,56.2711671787474,43.7288328212526,50,22.4,15.329,52947,0.673296522880018,1,0,0
"38","PA",0.115413,0.008427,163800,798,51230,0.096738,286,29.8,2012,0,3.19734530548507,2012,52.7319340018918,47.2680659981082,50,21.4,22.452,52176,1.58524477641513,1,0,0
"39","RI",0.1213,0.00266,234600,878,54554,0.071351,1025,32.7,2012,0,4.30032628221579,2012,64.0167459788821,35.9832540211179,50,24.6,7.918,53832,4.07848535195712,1,0,0
"40","SC",0.104153,0.045327,135500,754,43107,0.269283,167,47.9,2012,0,3.14334098870253,2012,44.6917452954346,55.3082547045654,50,36.1,40.928,43281,1.57855551943282,1,0,0
"41","SD",0.103174,0.007687,134300,651,48362,0.197436,11,25.3,2012,0,2.77697365700343,2012,40.7815008618048,59.2184991381952,50,16.2,38.584,49521,3.6605274271326,1,0,0
"42","TN",0.146125,0.056553,137800,730,42764,0.215385,163,41.9,2012,0,3.22233654475727,2012,39.648928473706,60.351071526294,50,25,45.973,43705,0.667649793014907,1,0,0
"43","TX",0.130576,0.063466,129200,831,50740,0.276536,108,49.8,2012,0,2.54631454473788,2012,41.9921027848936,58.0078972151064,50,55.7,31.855,51740,2.15355680560487,1,0,0
"44","UT",0.123571,0.016642,199700,851,57049,0.286713,38,30.5,2012,0,3.50049957054462,2012,25.3738111048525,74.6261888951475,50,20.2,3.133,58332,1.76505444660678,1,0,0
"45","VA",0.102874,0.017451,237800,1068,61741,0.194479,214,38.8,2012,0,3.85157350868953,2012,51.9673766887645,48.0326233112355,50,36.1,30.028,65212,1.47631987258577,1,0,0
"46","VT",0.18542,0.035645,216900,860,52977,0.141509,68,20.9,2012,0,4.0942295713234,2012,68.2472588263906,31.7527411736094,50,6,11.293,55052,-0.970113288750746,1,0,0
"47","WA",0.297552,0.079482,243000,954,57573,0.192405,111,31.6,2012,0,4.22072846646866,2012,57.6282982706218,42.3717017293782,50,28.6,16.789,60986,1.80049949615432,1,0,0
"48","WI",0.105347,0.010155,165200,743,51059,0.152019,107,20.8,2012,0,3.23547268845845,2012,53.4634299828724,46.5365700171276,50,17.2,26.201,53884,0.647701133303091,1,0,0
"49","WV",0.129894,0.047268,100400,607,40196,0.152019,76,34.2,2012,0,2.49776097124092,2012,36.3257023679573,63.6742976320427,50,7.2,28.307,43751,-2.6091872874163,1,0,0
"50","WY",0.314425,0.232047,187400,742,54901,0.198986,6,25.2,2012,0,3.4134168776525,2012,28.8393659884786,71.1606340115214,50,15.4,16.995,57402,0.818406864322124,1,0,0
